state,district,female_literacy,menstrual_hygiene,sanitation,child_marriage,child_stunting
Bihar,Araria,43.7,36.4,32.2,52.0,49.9
Bihar,Arwal,62.5,54.5,43.4,37.5,45.6
Bihar,Aurangabad,67.6,68.4,47.1,27.3,41.2
Bihar,Banka,55.7,62.8,38.2,49.4,46.7
Bihar,Begusarai,62.3,70.7,62.2,49.5,37.8
Bihar,Bhagalpur,65.6,75.6,60.9,42.4,40.0
Bihar,Bhojpur,64.1,60.8,45.9,31.2,40.7
Karnataka,Bagalkot,69.7,65.9,51.3,38.7,48.3
Karnataka,Bangalore Rural,83.8,97.6,88.8,14.1,36.6
Karnataka,Bangalore,87.3,98.5,90.4,14.5,31.3
Karnataka,Belgaum,74.0,75.3,67.7,32.8,32.8
Karnataka,Bellary,64.4,85.0,64.1,22.2,36.1
Karnataka,Bidar,73.8,81.6,56.5,19.2,36.8
Kerala,Alappuzha,99.7,93.1,99.2,3.8,20.1
Kerala,Ernakulam,99.3,94.5,99.3,2.9,22.0
Kerala,Idukki,94.4,92.6,97.5,7.1,24.3
Kerala,Kannur,99.1,96.8,99.5,5.4,19.4
Kerala,Kasaragod,95.9,93.9,98.9,4.7,25.3
Kerala,Kollam,98.2,99.4,97.5,1.8,15.5
Maharashtra,Ahmednagar,86.2,84.2,79.5,26.9,31.7
Maharashtra,Akola,87.5,79.7,69.5,13.5,31.8
Maharashtra,Amravati,87.8,83.0,75.7,9.8,29.0
Maharashtra,Aurangabad,83.1,77.3,69.1,35.8,34.2
Maharashtra,Bhandara,89.1,93.1,81.8,1.5,31.3
Maharashtra,Bid,76.3,70.7,66.4,43.7,40.8
Assam,Baksa,74.8,67.0,68.9,24.9,41.2
Assam,Barpeta,74.8,61.5,63.7,40.1,29.8
Assam,Biswanath,69.2,70.9,76.6,25.3,42.7
Assam,Bongaigaon,75.8,69.0,72.5,41.7,46.2
Assam,Cachar,77.2,57.8,57.6,29.9,28.7
Assam,Charaideo,71.9,68.7,75.9,22.6,39.0
West Bengal,Bankura,68.3,79.0,49.2,45.7,30.3
West Bengal,Birbhum,70.8,79.3,55.0,49.9,37.0
West Bengal,Dakshin Dinajpur,74.3,76.6,79.0,45.6,31.9
West Bengal,Darjeeling,77.0,92.7,83.0,21.2,34.3
West Bengal,Haora,80.5,94.1,72.9,30.4,27.5
West Bengal,Hugli,77.4,86.5,76.2,40.8,28.9
Gujarat,Ahmedabad,81.5,66.4,86.4,17.5,35.5
Gujarat,Amreli,77.2,73.8,73.3,10.5,35.3
Gujarat,Anand,75.9,69.1,82.1,28.0,38.4
Gujarat,Aravali,71.9,52.5,56.3,27.0,47.1
Gujarat,Banaskantha,63.7,52.7,53.9,37.3,39.0
Gujarat,Bharuch,74.0,63.6,77.7,16.8,40.9
Gujarat,Bhavnagar,74.2,64.5,72.9,18.0,32.6
Meghalaya,East Garo Hills,86.7,75.7,83.9,13.7,39.7
Meghalaya,East Jaintia Hills,76.0,47.9,83.6,25.3,49.8
Meghalaya,East Khasi Hills,93.7,70.7,80.9,14.6,44.6
Meghalaya,North Garo Hills,86.1,74.9,84.9,13.2,35.6
Meghalaya,Ribhoi,89.5,67.8,85.3,20.3,42.5
Meghalaya,South Garo Hills,88.6,66.6,88.4,10.2,29.8
